page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,nature communications,"[74, 80, 441, 118]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header_image,,"[1088, 79, 1124, 132]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,text,Article,"[74, 184, 146, 211]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,text,https://doi.org/10.1038/s41467-023-37178-5,"[798, 187, 1125, 211]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: https://doi.org/10.1038/s41467-023-37178-5""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,4,doc_title,Polyvinyl chloride-based dielectric elastomer with high permittivity and low viscoelasticity for actuation and sensing,"[73, 222, 1127, 389]",paper_title,0.8,"[""page-1 zone title_zone: Polyvinyl chloride-based dielectric elastomer with high perm""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,Received: 20 April 2022,"[75, 456, 273, 482]",frontmatter_noise,0.7,"[""frontmatter noise text: Received: 20 April 2022""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,6,text,Accepted: 6 March 2023,"[76, 497, 279, 522]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Accepted: 6 March 2023""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,7,text,"Published online: 17 March 2023
Jianjian Huang $ ^{1} $, Xiaodie Zhang $ ^{1} $, Ruixue Liu $ ^{1} $, Yonghui Ding $ ^{2} $ & Dongjie Guo $ ^{1} $","[75, 538, 312, 563]",authors,0.8,"[""page-1 zone author_zone: Published online: 17 March 2023\nJianjian Huang $ ^{1} $, Xia""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,8,text,,"[429, 454, 1005, 507]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,9,text,🔥 Check for updates,"[77, 577, 244, 602]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,10,abstract,Dielectric elastomers (DEs) are widely used in soft actuation and sensing. Current DE actuators require high driving electrical fields because of their low permittivity. Most of DE actuators and senso,"[429, 552, 1128, 945]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,11,text,"Dielectric elastomers (DEs) are emerging as promising materials for actuation and sensing. DE device, usually composed of a thin elastomeric film sandwiched between two compliant electrodes, is able t","[73, 995, 594, 1404]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,text,,"[606, 994, 1128, 1038]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,13,text,"Numerous efforts have been devoted to increase the dielectric permittivity and mechanical flexibility to generate a large actuation under relatively low driving voltages $ ^{11-13,16-19} $. For instan","[605, 1039, 1129, 1405]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,14,footnote," $ ^{1} $State Laboratory of Surface & Interface, Zhengzhou University of Light Industry, Zhengzhou 450002, China.  $ ^{2} $Center for Advanced Regenerative Engineering, Department of Biomedical Engin","[76, 1444, 1126, 1489]",footnote,0.7,"[""footnote label: $ ^{1} $State Laboratory of Surface & Interface, Zhengzhou U""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
