page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
2,0,header,Journal Pre-proof,"[494, 68, 728, 96]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p2 y=68/1584"", ""page_1_preproof_cover_dropped_upstream""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
2,1,doc_title,Engineering electroactive and biocompatible tetra(aniline)-based terpolymers with tunable intrinsic antioxidant properties in vivo,"[139, 143, 1082, 202]",paper_title,0.8,"[""page-1 zone title_zone: Engineering electroactive and biocompatible tetra(aniline)-b""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
2,2,text,"Irrum Mushtaq, a* Iram Mushtaq, b Zareen Akhter, a* Iram Murtaza, b Samina Qamar, a Sidra Ayub, b Bushra Mirza, b Tehmeena Maryum Butt, a, Naveed Kausar Janjua, a Faiz Ullah Shah, c Farasat Zaman","[147, 214, 1083, 288]",authors,0.8,"[""page-1 zone author_zone: Irrum Mushtaq, a* Iram Mushtaq, b Zareen Akhter, a* Iram Mur""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
2,3,text," $ ^{a} $Department of Chemistry, Quaid-i-Azam University, Islamabad-45320, Pakistan","[140, 354, 860, 386]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{a} $Department of Chemistry, Quaid-i-Azam University, Is""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
2,4,text," $ ^{b} $ Department of Biochemistry, Quaid-i-Azam University, Islamabad-45320, Pakistan","[140, 404, 886, 436]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{b} $ Department of Biochemistry, Quaid-i-Azam University""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
2,5,text,"Chemistry of Interfaces, Luleå University of Technology, SE-97187 Luleå, Sweden","[139, 456, 879, 488]",affiliation,0.8,"[""page-1 zone affiliation_zone: Chemistry of Interfaces, Lule\u00e5 University of Technology, SE-""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
2,6,text," $ ^{d} $ Department of Women’s and Children’s Health, Karolinska Institutet and Pediatric Endocrinology Unit, Karolinska University Hospital, SE-171 74 Solna, Sweden","[139, 503, 1082, 561]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{d} $ Department of Women\u2019s and Children\u2019s Health, Karoli""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
2,7,text,*Corresponding authors:,"[140, 622, 370, 651]",authors,0.8,"[""page-1 zone author_zone: *Corresponding authors:""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
2,8,text,"Irrum Mushtaq, Email: irrum.mushtaq@chem.qau.edu.pk (correspondence post-publication)
Zareen Akhter, Email: zareen_a@qau.edu.pk (correspondence post-publication)
Farasat Zaman, Email: farasat.zaman@ki","[139, 667, 1073, 752]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Irrum Mushtaq, Email: irrum.mushtaq@chem.qau.edu.pk (corresp""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
2,9,number,1,"[1065, 1460, 1082, 1484]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
3,0,header,Journal Pre-proof,"[494, 67, 729, 96]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p3 y=67/1584""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
3,1,paragraph_title,Abstract,"[138, 144, 255, 178]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,body_zone,heading_like,short_fragment,True,True
3,2,abstract,"Under different pathological conditions, high levels of reactive oxygen species (ROS) cause substantial damage to multiple organs. To counter these ROS levels in multiple organs, we have engineered hi","[136, 222, 1088, 866]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
